entity,entity_type,source,method,confidence,evidence
Quốc hội,CoQuan,166170,Rule-based & Metadata Audit,0.95,QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh p
Vương Đình Huệ,NguoiKy,166170,Rule-based & Metadata Audit,0.95,/2023/QH15. CHỦ TỊCH QUỐC HỘI Vương Đình Huệ
1,DoiTuongApDung,166170,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Tín dụng,LinhVuc,166170,Rule-based & Metadata Audit,0.95,"động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diệ"
Chính phủ,CoQuan,112025,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh p
Nguyễn Xuân Phúc,NguoiKy,112025,Rule-based & Metadata Audit,0.95,Ủ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Xuân Phúc
1,DoiTuongApDung,112025,Rule-based & Metadata Audit,0.95,đối tượng áp dụng 1
Tài chính - Ngân hàng,LinhVuc,112025,Rule-based & Metadata Audit,0.95,"ÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT KINH DOANH BẢ"
Ngân hàng Nhà nước Việt Nam,CoQuan,38128,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Đào Minh Tú,NguoiKy,38128,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đào Minh Tú
1,DoiTuongApDung,38128,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Phát hành và kho quỹ,LinhVuc,38128,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
Quốc hội,CoQuan,26750,Rule-based & Metadata Audit,0.95,QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh p
Nguyễn Phú Trọng,NguoiKy,26750,Rule-based & Metadata Audit,0.95,11. CHỦ TỊCH QUỐC HỘI (Đã ký) Nguyễn Phú Trọng
"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh",DoiTuongApDung,26750,Rule-based & Metadata Audit,0.95,"Đối tượng áp dụng Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngo"
Tài chính - Ngân hàng,LinhVuc,26750,Rule-based & Metadata Audit,0.95,tra hoạt động thuộc lĩnh vực kiểm toán độc lập của tổ chức nghề nghiệp về kiểm toán; h)
Chính phủ,CoQuan,163441,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ _________ CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự d
Lê Minh Khái,NguoiKy,163441,Rule-based & Metadata Audit,0.95,Ủ TƯỞNG PHÓ THỦ TƯỞNG (Đã ký) Lê Minh Khái CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆ
1,DoiTuongApDung,163441,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
Bảo hiểm,LinhVuc,163441,Rule-based & Metadata Audit,0.95,của Luật Kinh doanh bảo hiểm __________ Căn cứ Luật Tổ chức Chính phủ ngày 19 tháng 6 nă
