entity_id,original_name,canonical_name,entity_type,source,method,confidence,evidence
ent_001,Quốc hội,Quốc hội,CoQuan,166170,Rule-based & Metadata Audit,0.95,QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh p
ent_002,Vương Đình Huệ,Vương Đình Huệ,NguoiKy,166170,Rule-based & Metadata Audit,0.95,/2023/QH15. CHỦ TỊCH QUỐC HỘI Vương Đình Huệ
ent_003,1,1,DoiTuongApDung,166170,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
ent_004,Tín dụng,Tín dụng,LinhVuc,166170,Rule-based & Metadata Audit,0.95,"động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diệ"
ent_005,Chính phủ,Chính phủ,CoQuan,112025,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh p
ent_006,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,NguoiKy,112025,Rule-based & Metadata Audit,0.95,Ủ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Xuân Phúc
ent_007,1,1,DoiTuongApDung,112025,Rule-based & Metadata Audit,0.95,đối tượng áp dụng 1
ent_008,Tài chính - Ngân hàng,Tài chính - Ngân hàng,LinhVuc,112025,Rule-based & Metadata Audit,0.95,"ÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT KINH DOANH BẢ"
ent_009,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,CoQuan,38128,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
ent_010,Đào Minh Tú,Đào Minh Tú,NguoiKy,38128,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đào Minh Tú
ent_011,1,1,DoiTuongApDung,38128,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
ent_012,Phát hành và kho quỹ,Phát hành và kho quỹ,LinhVuc,38128,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
ent_013,Quốc hội,Quốc hội,CoQuan,26750,Rule-based & Metadata Audit,0.95,QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh p
ent_014,Nguyễn Phú Trọng,Nguyễn Phú Trọng,NguoiKy,26750,Rule-based & Metadata Audit,0.95,11. CHỦ TỊCH QUỐC HỘI (Đã ký) Nguyễn Phú Trọng
ent_015,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh","Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh",DoiTuongApDung,26750,Rule-based & Metadata Audit,0.95,"Đối tượng áp dụng Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngo"
ent_016,Tài chính - Ngân hàng,Tài chính - Ngân hàng,LinhVuc,26750,Rule-based & Metadata Audit,0.95,tra hoạt động thuộc lĩnh vực kiểm toán độc lập của tổ chức nghề nghiệp về kiểm toán; h)
ent_017,Chính phủ,Chính phủ,CoQuan,163441,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ _________ CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự d
ent_018,Lê Minh Khái,Lê Minh Khái,NguoiKy,163441,Rule-based & Metadata Audit,0.95,Ủ TƯỞNG PHÓ THỦ TƯỞNG (Đã ký) Lê Minh Khái CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆ
ent_019,1,1,DoiTuongApDung,163441,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
ent_020,Bảo hiểm,Bảo hiểm,LinhVuc,163441,Rule-based & Metadata Audit,0.95,của Luật Kinh doanh bảo hiểm __________ Căn cứ Luật Tổ chức Chính phủ ngày 19 tháng 6 nă
ent_021,Chính phủ,Chính phủ,CoQuan,146468,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do
ent_022,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,NguoiKy,146468,Rule-based & Metadata Audit,0.95,. CHÍNH PHỦ THỦ TƯỚNG (đã ký) Nguyễn Xuân Phúc
ent_023,"tổ chức, trừ trường hợp quy định tại khoản 3 và khoản 4 Điều 15, khoản 2 và khoản 4 Điều 30, khoản 3","tổ chức, trừ trường hợp quy định tại khoản 3 và khoản 4 Điều 15, khoản 2 và khoản 4 Điều 30, khoản 3",DoiTuongApDung,146468,Rule-based & Metadata Audit,0.95,"áp dụng đối với tổ chức, trừ trường hợp quy định tại khoản 3 và khoản 4 Điều 15, khoản 2 và khoản 4 Điều 30, khoản 3 và khoản 5 Điều 39 Nghị định này"
ent_024,Chứng khoán,Chứng khoán,LinhVuc,146468,Rule-based & Metadata Audit,0.95,ạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán Căn cứ Luật Tổ chức C
ent_025,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,CoQuan,168220,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM --------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT
ent_026,Đào Minh Tú,Đào Minh Tú,NguoiKy,168220,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đào Minh Tú
ent_027,1,1,DoiTuongApDung,168220,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
ent_028,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",LinhVuc,168220,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM --------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT
ent_029,Chính phủ,Chính phủ,CoQuan,133858,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh p
ent_030,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,NguoiKy,133858,Rule-based & Metadata Audit,0.95,Ủ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Xuân Phúc
ent_031,1,1,DoiTuongApDung,133858,Rule-based & Metadata Audit,0.95,Đối tượng áp dụng 1
ent_032,Tài chính - Ngân hàng,Tài chính - Ngân hàng,LinhVuc,133858,Rule-based & Metadata Audit,0.95,ăn bản hướng dẫn do Ngân hàng Nhà nước ban hành. 4. Công tác kiểm toán nội bộ của Ngân hà
ent_033,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,CoQuan,169221,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
ent_034,Phạm Thanh Hà,Phạm Thanh Hà,NguoiKy,169221,Rule-based & Metadata Audit,0.95,ỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Phạm Thanh Hà
ent_035,ngày thực hiện giao dịch,ngày thực hiện giao dịch,DoiTuongApDung,169221,Rule-based & Metadata Audit,0.95,áp dụng đối với ngày thực hiện giao dịch
ent_036,Quản lý ngoại hối,Quản lý ngoại hối,LinhVuc,169221,Rule-based & Metadata Audit,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lậ
ent_037,Chính phủ,Chính phủ,CoQuan,95652,Rule-based & Metadata Audit,0.95,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh p
